iter	Passed	Remaining
0	131	131398
1	264	131829
2	377	125616
3	448	111592
4	513	102232
5	570	94593
6	662	94027
7	728	90355
8	785	86465
9	844	83632
10	902	81126
11	955	78693
12	1016	77195
13	1073	75619
14	1202	78986
15	1521	93588
16	1684	97403
17	1790	97655
18	1856	95857
19	1969	96484
20	2154	100427
21	2227	99044
22	2283	97014
23	2336	95029
24	2390	93217
25	2443	91543
26	2496	89980
27	2555	88706
28	2606	87257
29	2658	85969
30	2717	84929
31	2770	83818
32	2822	82700
33	2874	81660
34	2934	80909
35	2985	79936
36	3036	79018
37	3086	78144
38	3139	77366
39	3192	76608
40	3244	75892
41	3295	75174
42	3347	74491
43	3396	73804
44	3449	73206
45	3499	72583
46	3550	71997
47	3598	71375
48	3651	70865
49	3702	70338
50	3752	69827
51	3802	69327
52	3854	68868
53	3905	68415
54	3955	67969
55	4008	67570
56	4070	67342
57	4126	67019
58	4177	66626
59	4238	66396
60	4301	66216
61	4361	65978
62	4439	66028
63	4493	65717
64	4553	65497
65	4609	65227
66	4665	64963
67	4725	64773
68	4786	64576
69	4839	64290
70	4898	64097
71	4959	63928
72	5013	63668
73	5066	63403
74	5123	63185
75	5178	62963
76	5231	62709
77	5443	64347
78	5613	65439
79	5746	66087
80	5848	66356
81	5966	66798
82	6073	67104
83	6154	67111
84	6218	66941
85	6287	66818
86	6341	66546
87	6393	66256
88	6470	66236
89	6523	65964
90	6577	65704
91	6629	65425
92	6709	65437
93	6777	65326
94	6851	65267
95	6903	65008
96	6956	64759
97	7023	64644
98	7080	64438
99	7140	64260
100	7197	64066
101	7255	63873
102	7292	63508
103	7347	63305
104	7398	63064
105	7463	62944
106	7517	62735
107	7594	62725
108	7652	62551
109	7719	62461
110	7780	62312
111	7837	62138
112	7901	62021
113	7961	61875
114	8021	61730
115	8086	61622
116	8150	61514
117	8211	61374
118	8274	61256
119	8344	61192
120	8407	61073
121	8469	60953
122	8539	60884
123	8599	60749
124	8667	60673
125	8727	60536
126	8793	60446
127	8851	60303
128	8917	60212
129	8975	60069
130	9049	60030
131	9106	59879
132	9151	59657
133	9207	59505
134	9275	59433
135	9341	59344
136	9403	59236
137	9460	59096
138	9517	58956
139	9573	58809
140	9633	58688
141	9689	58545
142	9748	58421
143	9798	58249
144	9858	58131
145	9927	58070
146	9979	57909
147	10034	57767
148	10102	57699
149	10157	57560
150	10212	57417
151	10271	57302
152	10332	57201
153	10400	57132
154	10452	56985
155	10504	56831
156	10555	56679
157	10611	56550
158	10665	56412
159	10726	56315
160	10780	56180
161	10831	56031
162	10885	55897
163	10940	55772
164	10997	55652
165	11048	55511
166	11120	55466
167	11174	55341
168	11235	55247
169	11288	55115
170	11342	54986
171	11403	54894
172	11458	54773
173	11522	54697
174	11574	54567
175	11639	54493
176	11702	54414
177	11754	54281
178	11806	54152
179	11873	54089
180	11933	53998
181	11992	53900
182	12045	53779
183	12109	53701
184	12165	53596
185	12224	53496
186	12279	53385
187	12333	53272
188	12397	53197
189	12449	53074
190	12503	52959
191	12557	52845
192	12613	52741
193	12669	52636
194	12727	52542
195	12786	52450
196	12844	52355
197	12912	52301
198	12969	52205
199	13021	52084
200	13080	51996
201	13131	51876
202	13199	51821
203	13267	51771
204	13323	51668
205	13377	51560
206	13436	51474
207	13490	51367
208	13553	51296
209	13605	51183
210	13661	51083
211	13726	51019
212	13788	50945
213	13842	50842
214	13905	50772
215	13960	50670
216	14020	50590
217	14074	50487
218	14137	50418
219	14200	50346
220	14257	50256
221	14317	50175
222	14371	50075
223	14443	50035
224	14496	49932
225	14553	49843
226	14607	49741
227	14665	49656
228	14725	49576
229	14778	49475
230	14840	49402
231	14898	49318
232	14950	49214
233	15011	49139
234	15067	49050
235	15124	48963
236	15181	48875
237	15235	48780
238	15296	48705
239	15353	48620
240	15410	48531
241	15468	48451
242	15523	48360
243	15576	48262
244	15760	48567
245	15820	48490
246	15870	48383
247	15921	48278
248	15979	48196
249	16037	48112
250	16090	48014
251	16155	47952
252	16209	47859
253	16273	47794
254	16331	47714
255	16390	47634
256	16454	47570
257	16509	47481
258	16568	47401
259	16626	47322
260	16687	47248
261	16738	47149
262	16795	47064
263	16846	46966
264	16906	46890
265	16974	46840
266	17038	46775
267	17113	46742
268	17185	46699
269	17243	46621
270	17303	46546
271	17356	46453
272	17416	46379
273	17471	46292
274	17527	46207
275	17577	46109
276	17635	46031
277	17690	45945
278	17747	45864
279	17808	45792
280	17867	45717
281	17924	45637
282	17976	45544
283	18034	45467
284	18086	45374
285	18146	45302
286	18200	45216
287	18254	45129
288	18308	45041
289	18366	44966
290	18419	44876
291	18499	44854
292	18550	44760
293	18610	44690
294	18665	44608
295	18727	44540
296	18788	44471
297	18845	44395
298	18899	44310
299	18955	44230
300	19010	44147
301	19066	44067
302	19120	43982
303	19176	43905
304	19235	43831
305	19291	43752
306	19347	43673
307	19414	43618
308	19473	43547
309	19533	43477
310	19584	43389
311	19643	43316
312	19699	43238
313	19753	43155
314	19803	43064
315	19871	43013
316	19933	42948
317	19986	42863
318	20037	42775
319	20096	42704
320	20153	42630
321	20222	42579
322	20280	42506
323	20332	42421
324	20407	42385
325	20461	42304
326	20539	42272
327	20593	42191
328	20650	42116
329	20705	42038
330	20772	41984
331	20826	41903
332	20901	41866
333	20959	41792
334	21016	41719
335	21068	41635
336	21130	41571
337	21185	41492
338	21238	41412
339	21294	41337
340	21347	41254
341	21400	41174
342	21453	41092
343	21515	41029
344	21573	40958
345	21629	40883
346	21685	40808
347	21737	40725
348	21802	40668
349	21855	40589
350	21917	40526
351	21978	40459
352	22030	40378
353	22086	40304
354	22151	40247
355	22254	40258
356	22352	40260
357	22466	40289
358	22567	40294
359	22641	40250
360	22707	40193
361	22788	40162
362	22860	40115
363	22935	40074
364	23013	40037
365	23080	39981
366	23165	39956
367	23236	39905
368	23304	39851
369	23380	39810
370	23436	39735
371	23499	39671
372	23557	39599
373	23612	39522
374	23669	39448
375	23733	39388
376	23802	39334
377	23864	39269
378	23927	39205
379	24001	39161
380	24072	39109
381	24154	39076
382	24229	39032
383	24288	38962
384	24347	38892
385	24400	38813
386	24459	38743
387	24544	38714
388	24617	38666
389	24676	38597
390	24728	38515
391	24785	38442
392	24841	38368
393	24895	38290
394	24952	38217
395	25016	38155
396	25070	38079
397	25122	37999
398	25179	37927
399	25239	37858
400	25298	37789
401	25351	37711
402	25407	37638
403	25462	37562
404	25520	37493
405	25594	37446
406	25685	37423
407	25751	37364
408	25823	37315
409	25905	37278
410	25984	37238
411	26051	37180
412	26119	37123
413	26193	37075
414	26290	37060
415	26355	36999
416	26418	36935
417	26479	36868
418	26542	36805
419	26649	36802
420	26731	36763
421	26800	36708
422	26859	36637
423	26915	36564
424	26968	36487
425	27025	36413
426	27083	36343
427	27145	36279
428	27211	36219
429	27277	36158
430	27342	36097
431	27403	36030
432	27453	35949
433	27505	35870
434	27563	35800
435	27615	35722
436	27672	35650
437	27733	35585
438	27796	35521
439	27849	35444
440	27900	35365
441	27951	35287
442	28001	35207
443	28055	35132
444	28106	35053
445	28156	34974
446	28216	34907
447	28268	34831
448	28325	34759
449	28389	34698
450	28450	34632
451	28503	34557
452	28555	34481
453	28616	34415
454	28671	34343
455	28721	34264
456	28773	34187
457	28827	34114
458	28879	34039
459	28931	33962
460	28985	33890
461	29037	33814
462	29099	33749
463	29161	33686
464	29224	33623
465	29282	33555
466	29334	33480
467	29387	33406
468	29441	33333
469	29497	33263
470	29547	33186
471	29600	33112
472	29655	33040
473	29709	32968
474	29760	32893
475	29813	32820
476	29866	32746
477	29927	32682
478	30021	32654
479	30081	32588
480	30136	32516
481	30195	32450
482	30252	32382
483	30310	32314
484	30370	32249
485	30422	32175
486	30483	32111
487	30539	32041
488	30599	31975
489	30672	31924
490	30738	31865
491	30940	31946
492	31120	32004
493	31251	32010
494	31387	32022
495	31470	31978
496	31578	31959
497	31688	31942
498	31776	31903
499	31840	31840
500	31910	31783
501	31972	31717
502	32029	31647
503	32083	31574
504	32143	31506
505	32201	31437
506	32264	31373
507	32331	31313
508	32396	31251
509	32460	31187
510	32513	31113
511	32580	31053
512	32647	30992
513	32717	30934
514	32770	30861
515	32833	30796
516	32901	30737
517	32954	30664
518	33015	30598
519	33070	30526
520	33124	30454
521	33183	30386
522	33236	30313
523	33297	30247
524	33356	30180
525	33420	30116
526	33477	30047
527	33537	29980
528	33599	29915
529	33666	29855
530	33720	29782
531	33783	29719
532	33839	29649
533	33892	29576
534	33960	29516
535	34023	29453
536	34078	29382
537	34137	29314
538	34193	29245
539	34256	29181
540	34310	29109
541	34371	29044
542	34425	28973
543	34489	28910
544	34546	28841
545	34606	28775
546	34664	28707
547	34732	28648
548	34795	28583
549	34862	28524
550	34924	28459
551	34998	28404
552	35059	28339
553	35117	28271
554	35175	28203
555	35229	28132
556	35293	28070
557	35347	27999
558	35411	27936
559	35475	27873
560	35547	27816
561	35604	27748
562	35666	27684
563	35721	27614
564	35773	27542
565	35828	27473
566	35886	27405
567	35946	27339
568	36000	27269
569	36063	27205
570	36116	27134
571	36174	27067
572	36235	27002
573	36293	26935
574	36354	26870
575	36408	26801
576	36472	26737
577	36543	26680
578	36604	26615
579	36662	26548
580	36718	26480
581	36775	26412
582	36828	26341
583	36893	26280
584	36952	26214
585	37006	26144
586	37060	26074
587	37111	26003
588	37174	25939
589	37231	25872
590	37290	25807
591	37350	25741
